"seq","corp_cd","locale","intent","main_keyword","second_keyword","third_keyword","simple_res_1","simple_res_2","rich_res_type","rich_res_title","rich_res_text","rich_res_image","rich_res_link_text_1","rich_res_link_url_1","rich_res_link_text_2","rich_res_link_url_2","rich_res_link_text_3","rich_res_link_url_3","suggestion","gscs_yn","gscs_product_cd","gscs_symp_cd","gscs_sub_symp_cd","created_by","creation_date","last_updated_by","last_update_date","service_type","followup_intent"
16105,us,en_US,int_live_chat_agents_cat4,,,,"Please click the button to share your details, and an agent will assist you shortly.",,RR_02,,,,live chat agents,https://zendesk-live-chat,,,,,,N,,,,63,"2023-05-29 04:01:15",254,"2025-03-18 15:41:32",CS,
21692,us,en_US,int_live_chat_agents_cat1,,,,"Please click the button to share your details, and an agent will assist you shortly.",,RR_02,,,,live chat agents,https://zendesk-live-chat,,,,,,N,,,,63,"2023-11-28 10:35:56",254,"2025-03-18 15:41:32",CS,
22902,us,en_US,int_live_chat_agents_dealer_support,,,,"Please click the button to share your details, and an agent will assist you shortly.",,RR_02,,,,live chat agents,https://zendesk-live-chat,,,,,,N,,,,63,"2024-04-30 00:45:41",254,"2025-03-18 15:41:32",CS,
23049,us,en_US,int_live_chat_agents_esp,,,,"Haga clic en el botÃ³n a continuaciÃ³n para conectarse con un agente en vivo.

Horario de atenciÃ³n al cliente por chat en vivo: 
<b style=""color:blue"">de 8 a. m. a 4:30 p. m. (CST)</b>","",RR_02,,,,agentes de chat en vivo,https://zendesk-live-chat?departmentFilter=24734938548365&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-06-14 02:57:56",254,"2025-03-20 14:04:29",CS,
23050,us,en_US,int_live_chat_agents_locator_popup,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,"","","",live chat agents,https://zendesk-live-chat,,,,,,,,,,63,"2024-06-14 02:57:56",254,"2025-03-18 15:47:17",CS,
23053,us,en_US,int_live_chat_agents_laptop,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š
* Operation Hours: 7 AM - 8 PM (EST)",,RR_02,,,,live chat agents,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only&popupFlag=Y,,,,,,N,,,,63,"2024-06-14 21:55:02",254,"2025-03-20 14:04:29",CS,
23063,us,en_US,int_live_chat_agents_laptop_repair,,,,"I apologize for any inconvenience with your product. Could you describe the issue?
To save your time, please try the basic troubleshooting steps with me.","If the issue persists or you've already tried troubleshooting,
click the button below to start a service request with our agent.",RR_02,,,,Request Repair with Live Chat Agent,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,,,,,,,,,,63,"2024-06-21 01:11:50",254,"2025-03-18 15:41:32",CS,
23064,us,en_US,int_live_chat_agents_laptop_TR_no_call,,,,"I apologize for any inconvenience caused by the delay regarding your repair service. 

It's possible that our team has reached out to you via phone call, text, or email. 
Would you please check if you haven't missed any communication from us?

Additionally, if you have the contact information for your assigned service center, we recommend reaching out to them directly to check the status of your request.","However, if you haven't received any communication or lack the service center's contact details, please click <b style=""color:black"">[live chat agents]</b> button below to connect to our live agents.",RR_02,"","","",live chat agents,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,"","","","","",,,,,63,"2024-06-21 01:11:50",254,"2025-03-18 15:41:32",CS,
23065,us,en_US,int_live_chat_agents_laptop_TR_no_show,,,,"We sincerely apologize for any inconvenience caused by the technician not arriving as scheduled. 
Your time is valuable to us, and we understand the frustration this may have caused.

To address this issue promptly, please click the <b style=""color:black"">[live chat agent]</b> button for our live help.","Or, click <b style=""color:black"">[Email to Support Team]</b> button below to submit your case. Our dedicated customer support team will prioritize your issue and ensure you receive assistance within 1-2 days.

Additionally, if you have the contact information for your assigned service center, we recommend reaching out to them directly to check the status of your request.",RR_03,"","","",live chat agent,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,Email to Support Team,https://www.lg.com/us/support/email-to-president,"","","",,,,,63,"2024-06-21 01:11:50",254,"2025-03-18 15:41:32",CS,
23066,us,en_US,int_live_chat_agents_laptop_TR_no_RNN,,,,"Sure, I am here to help!
If you've received a confirmation email or text from us regarding your repair service, you might find the RNN number included. 
Would you please check the messages to see if your receipt number is included?

Additionally, if you have the contact information for your assigned service center, we recommend reaching out to them directly to check the status of your request.","However, if you haven't received your receipt number or lack the service center's contact details, please click <b style=""color:black"">[live chat agents]</b> button below to connect to our live agents.",RR_02,"","","",live chat agents,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,"","","","","",,,,,63,"2024-06-21 01:11:50",254,"2025-03-18 15:41:32",CS,
23128,us,en_US,int_live_chat_agents_locator_only,,,,"Please click the button to share your details, and an agent will assist you shortly.",,RR_02,,,,live chat agents,https://zendesk-live-chat,,,,,,N,,,,63,"2024-07-18 19:53:59",254,"2025-03-18 15:41:32",CS,
23249,us,en_US,int_live_chat_agents_tv_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411542976141&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:09",254,"2025-03-20 14:04:29",CS,
23250,us,en_US,int_live_chat_agents_ref_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411491503757&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:09",254,"2025-03-20 14:04:29",CS,
23251,us,en_US,int_live_chat_agents_wash_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:09",254,"2025-03-20 14:04:29",CS,
23252,us,en_US,int_live_chat_agents_isp_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5550484949389&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:09",254,"2025-03-20 14:04:29",CS,
23253,us,en_US,int_live_chat_agents_ha_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=;5411456258829;35145105097229;9777730996237;5411537757069&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:09",254,"2025-03-27 19:43:41",CS,
23254,us,en_US,int_live_chat_agents_cooking_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8186204097549&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:09",254,"2025-03-20 14:04:29",CS,
23256,us,en_US,int_live_chat_agents_mc_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411576794509&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:10",254,"2025-03-20 14:04:29",CS,
23257,us,en_US,int_live_chat_agents_vac_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=9777730996237&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:10",254,"2025-03-20 14:04:29",CS,
23258,us,en_US,int_live_chat_agents_he_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-09-06 21:52:10",254,"2025-03-20 14:04:29",CS,
23259,us,en_US,int_live_chat_agents_oow_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Let's schedule your repair service!
Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,live chat agents,https://zendesk-live-chat?departmentFilter=24377570792205&filterType=only,,,,,,N,,,,63,"2024-09-09 23:07:24",254,"2025-03-18 15:41:32",CS,
23436,us,en_US,int_live_chat_agents_msg_tv,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411542976141&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23437,us,en_US,int_live_chat_agents_msg_ref,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411491503757&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23438,us,en_US,int_live_chat_agents_msg_wash,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23439,us,en_US,int_live_chat_agents_msg_isp,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5550484949389&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23440,us,en_US,int_live_chat_agents_msg_ha,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=;5411456258829;35145105097229;9777730996237;5411537757069&filterType=only&popupFlag=Y,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-27 19:43:41",CS,
23441,us,en_US,int_live_chat_agents_msg_cooking,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8186204097549&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23442,us,en_US,int_live_chat_agents_msg_laptop,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23443,us,en_US,int_live_chat_agents_msg_mc,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411576794509&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23444,us,en_US,int_live_chat_agents_msg_vac,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=9777730996237&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23445,us,en_US,int_live_chat_agents_msg_he,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23536,us,en_US,int_live_chat_agents_tv_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411542976141&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-31 14:25:22",CS,
23537,us,en_US,int_live_chat_agents_ref_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411491503757&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23539,us,en_US,int_live_chat_agents_isp_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5550484949389&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23542,us,en_US,int_live_chat_agents_laptop_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.

* Operation Hours: 7 AM - 8 PM (EST)",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:47:17",CS,
23543,us,en_US,int_live_chat_agents_mc_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411576794509&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23544,us,en_US,int_live_chat_agents_vac_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=9777730996237&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23546,us,en_US,int_live_chat_agents_dryer_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23547,us,en_US,int_live_chat_agents_dishw_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23548,us,en_US,int_live_chat_agents_ac_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=35145055989901&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-21 17:24:02",CS,
23549,us,en_US,int_live_chat_agents_oven_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-31 14:16:22",CS,
23550,us,en_US,int_live_chat_agents_range_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8186204097549&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23551,us,en_US,int_live_chat_agents_microw_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8186204097549&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23552,us,en_US,int_live_chat_agents_earbuds_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23553,us,en_US,int_live_chat_agents_homeaudio_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23554,us,en_US,int_live_chat_agents_styler_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=9777730996237&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-21 17:24:02",CS,
23555,us,en_US,int_live_chat_agents_washer_tl_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:33",CS,
23556,us,en_US,int_live_chat_agents_washer_fl_out_pu,,,,"Hi there! ðŸ‘‹ Iâ€™m LGâ€™s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:33",CS,
23585,us,en_US,int_live_chat_agents_ac_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! ðŸ˜Š",,RR_02,,,"",Live Chat Agents,https://zendesk-live-chat?departmentFilter=35145055989901&filterType=only&popupFlag=Y,,,,,,N,,,,254,"2025-03-25 14:27:22",254,"2025-03-27 19:13:53",CS,
